number,name,diameter_km,H,G,epoch_tdb,e,a,i,node,peri,M,class,soln_date,U
1,Ceres,939.4,3.34,0.12,2461200.5,.07969229514816586,2.765552595034094,10.58802780183462,80.24862682043221,73.29421453021587,274.4193463761342,MBA,2021-04-13,0
2,Pallas,513,4.12,0.11,2461200.5,.2307000995648547,2.769559010737709,34.93279321851542,172.8866193357694,310.9699161652136,254.2496521742734,MBA,2026-06-05,0
3,Juno,246.596,5.19,0.32,2461200.5,.2556999836681878,2.670989527103278,12.98659236598085,169.8115953492418,247.8950743075613,262.7322944883855,MBA,2026-06-05,0
4,Vesta,522.77,3.25,0.32,2461200.5,.09020374382834395,2.361365965127599,7.143925545058711,103.701293265032,151.4686478221564,81.19015607686903,MBA,2021-04-13,0
5,Astraea,106.699,6.95,,2461200.5,.1875739662458121,2.576807734440413,5.359676823083776,141.4472085242671,359.3756335285236,181.4782047289393,MBA,2026-03-11,0
6,Hebe,185.18,5.62,0.24,2461200.5,.2022549972879026,2.425661373187056,14.73627701122621,138.6133210652024,239.7304536745098,44.72118803216504,MBA,2026-06-05,0
7,Iris,199.83,5.70,,2461200.5,.2302746853668762,2.385746302646938,5.518567726455019,259.4851402183693,145.4071283819921,115.2916674478007,MBA,2026-06-05,0
8,Flora,147.491,6.62,0.28,2461200.5,.1561964033906808,2.201560614294881,5.890315098602565,110.8433074868032,285.408347619081,259.2621317520155,MBA,2025-09-15,0
9,Metis,190,6.18,0.17,2461200.5,.1224891951873931,2.386566897019014,5.577308161023677,68.86580372459878,5.93234478476366,252.6167948548272,MBA,2026-03-11,0
10,Hygiea,407.12,5.65,,2461200.5,.1067092741240963,3.150974033963701,3.829529946447122,283.1198927508594,312.4242387344704,252.0344242359649,MBA,2026-06-16,0
11,Parthenope,142.887,6.73,,2461200.5,.1008882269732183,2.452259158958239,4.636182798872363,125.4694137963753,196.4556119671663,224.9424643598946,MBA,2026-06-05,0
12,Victoria,115.087,7.30,0.22,2461200.5,.219704679860444,2.334622731781637,8.371535996445896,235.3456886067733,69.63348322443784,132.1351142569522,MBA,2026-06-05,0
13,Egeria,202.636,6.92,,2461200.5,.08460495953667801,2.576363568548756,16.52511410028056,43.17725602001575,79.11880563511185,88.61668291669723,MBA,2026-06-05,0
14,Irene,152,6.55,,2461200.5,.1627828179356891,2.588349062095578,9.129237556730201,86.01071103767451,98.30619819507798,60.22804105903095,MBA,2026-06-05,0
15,Eunomia,231.689,5.42,0.23,2461200.5,.1877707677912555,2.641958730730434,11.76139314431215,292.8807830122993,98.46131825798194,159.6891049210672,MBA,2026-06-16,0
16,Psyche,222,6.20,0.20,2461200.5,.1349324738201893,2.925720466462538,3.098749116151128,149.9753859305033,230.0326782748359,79.76939505329617,MBA,2025-02-06,0
17,Thetis,84.899,7.91,,2461200.5,.1308313112574364,2.472940913486363,5.596114790339423,125.4957512952483,136.1611177388652,243.0705750386174,MBA,2026-06-05,0
18,Melpomene,139.594,6.35,0.25,2461200.5,.2178488509329465,2.295822282563513,10.1310163819829,150.3244290841689,228.030483417504,283.9541873221012,MBA,2026-06-05,0
19,Fortuna,200,7.49,0.10,2461200.5,.1581144571294698,2.441509944072874,1.573529585781511,210.9922659828297,182.4358203745859,148.2622141754194,MBA,2026-06-05,0
20,Massalia,135.680,6.54,0.25,2461200.5,.1436088376311502,2.407954051550281,.7093362508715744,205.9478820051359,257.1954521557971,82.8014830497013,MBA,2026-06-05,0
21,Lutetia,98,7.48,0.11,2461200.5,.1647703512177245,2.434430742712361,3.064452891064415,80.83855721319993,249.8802780888828,298.7726414605465,MBA,2026-06-05,0
22,Kalliope,167.536,6.79,0.21,2461200.5,.0988424401654017,2.909165783133826,13.70212718634476,65.96536371272761,358.3124076298034,350.3284069622562,MBA,2026-06-05,0
23,Thalia,107.53,7.08,,2461200.5,.2313134694258691,2.628661689016325,10.10773332538056,66.47953992678453,61.67082422213203,216.4025307348911,MBA,2026-03-11,0
24,Themis,198,7.21,0.19,2461200.5,.115379978796777,3.143997721720467,.7366196417446064,36.39075346960584,109.2217643897621,92.01695639431603,MBA,2026-06-05,0
25,Phocaea,61.054,7.88,,2461200.5,.2537701746035801,2.40114332427306,21.59941426226993,214.06371877054,90.32439007231996,142.1223943702816,MBA,2026-06-05,0
26,Proserpina,94.80,7.48,,2461200.5,.08870767585577567,2.655079521758144,3.554542314548987,45.68422654237695,196.120522604508,335.1035019975895,MBA,2026-06-05,0
27,Euterpe,96,7.03,,2461200.5,.1715623980860491,2.346884024467284,1.583321156588389,94.76696742244124,356.6133131742698,327.7244816373419,MBA,2026-06-05,0
28,Bellona,120.90,7.21,,2461200.5,.1489547589190286,2.777833435241482,9.423218841884911,144.1471861459711,343.5423222031744,107.9669976346639,MBA,2026-06-05,0
29,Amphitrite,189.559,5.97,0.20,2461200.5,.07316346279504909,2.554570044340927,6.077066609833928,356.2500336382998,61.93055289284428,193.3739951667499,MBA,2026-06-05,0
30,Urania,92.787,7.57,,2461200.5,.1266409983482966,2.365359113065851,2.093694210980174,307.3953466216514,87.22809491859155,13.67314014299938,MBA,2026-06-05,0
31,Euphrosyne,267.080,6.83,,2461200.5,.2157957592592173,3.161898681996629,26.30908762537488,30.78655626760269,62.00909688426435,182.9145772062318,MBA,2026-06-05,0
32,Pomona,80.76,7.75,,2461200.5,.08089949114768656,2.589054303891871,5.518127853633032,220.3128283574279,337.5794815878806,289.6249401373899,MBA,2026-06-05,0
33,Polyhymnia,52.929,8.46,0.33,2461200.5,.3344915245297666,2.87133496806849,1.854194735990684,8.126765416786608,338.8138529964299,147.6094435360536,MBA,2026-06-05,0
34,Circe,132.992,8.75,,2461200.5,.1064972432050406,2.687844372557575,5.497416761706275,184.2457185289159,329.2602276707605,350.0924951152569,MBA,2026-06-05,0
35,Leukothea,103.055,8.68,,2461200.5,.2170340666686376,3.00436132400982,7.86770566253476,352.9043947467441,215.5297020075532,346.8812120591826,MBA,2026-06-05,0
36,Atalante,132.842,8.53,,2461200.5,.3061958546323982,2.744679178114011,18.3735908772913,358.1622489750873,47.75951693374971,142.9368363985319,MBA,2026-06-05,0
37,Fides,108.35,7.29,0.24,2461200.5,.1745520583093035,2.643361553217296,3.067489043572028,7.227158380353335,62.33002350439912,218.7162975546603,MBA,2026-06-05,0
38,Leda,92.255,8.51,,2461200.5,.1508912515933588,2.742624603688025,6.951591176760764,295.4932263035433,169.8270648327152,209.1024461649889,MBA,2026-06-05,0
39,Laetitia,179.484,5.97,,2461200.5,.1137790538922507,2.769263025168225,10.38398229914675,156.8188651371141,210.0969923717502,136.6109564472595,MBA,2026-06-05,0
40,Harmonia,111.251,6.57,,2461200.5,.04667460924283919,2.267728985737721,4.255009637994025,94.15160846821996,269.9317897880521,137.8878605293098,MBA,2026-06-05,0
41,Daphne,205.495,7.58,0.10,2461200.5,.2702470186051752,2.767228763912388,15.7335965968856,177.6031221169218,47.01764660931234,331.1528812513355,MBA,2026-06-05,0
42,Isis,110.997,7.69,,2461200.5,.2220266867918745,2.444824294898606,8.503353806348457,84.14514538470614,237.6169681639933,154.3578773888165,MBA,2026-06-05,0
43,Ariadne,71.340,7.92,0.11,2461200.5,.1676991165387822,2.204374883093808,3.468667281325155,264.7390407910616,16.30999193486588,201.5447684432557,MBA,2026-06-05,0
44,Nysa,70.64,6.75,0.46,2461200.5,.1496735116405386,2.422499624292143,3.713137130620973,131.4762396518531,343.8930847472048,41.45745492537208,MBA,2026-06-05,0
45,Eugenia,202.327,7.74,0.07,2461200.5,.08135721224821309,2.723282151072518,6.609071861466809,147.5197727660676,87.2001766879565,250.5110001868202,MBA,2026-06-05,0
46,Hestia,131.471,8.52,0.06,2461200.5,.1718246834166718,2.525671675217442,2.351500270702336,181.0541946709778,177.0458643790071,348.8581603799284,MBA,2026-03-11,0
47,Aglaja,168.174,8.14,0.16,2461200.5,.1340448578355385,2.879257574140958,4.972414108319288,2.672536371149811,316.2821350252433,214.6088619915926,MBA,2026-06-05,0
48,Doris,216.473,7.10,,2461200.5,.0660519797671885,3.113558912936097,6.557209915295611,183.4211970646564,251.4505513166522,177.5389403926116,MBA,2026-06-05,0
49,Pales,166.252,7.99,,2461200.5,.221306950927048,3.097300693957786,3.201599010467216,284.9836521464374,113.4832657254078,349.0858321084791,MBA,2026-06-05,0
50,Virginia,84.074,9.43,,2461200.5,.2845060892091339,2.651001572157452,2.839166950111937,173.4474858722075,200.0973155869434,32.27864425081964,MBA,2026-06-05,0
51,Nemausa,138.159,7.72,0.08,2461200.5,.06601704635523151,2.365929555916726,9.972592787646118,175.8752489209926,2.397711531037389,80.61019213271818,MBA,2026-06-05,0
52,Europa,303.918,6.65,0.18,2461200.5,.1124826698655506,3.094135859941014,7.481504555174181,128.5733918853921,342.8039959999205,348.9227964095758,MBA,2026-06-05,0
53,Kalypso,97.262,8.88,,2461200.5,.2029842746728789,2.618079225767605,5.182155233840094,143.4358127112889,314.441556829901,307.5874483101154,MBA,2026-03-11,0
54,Alexandra,160.120,7.94,,2461200.5,.1991501923934585,2.710240261287695,11.83625848344951,313.0133765796272,346.3581435508511,230.7782180299525,MBA,2026-06-05,0
55,Pandora,84.794,7.82,,2461200.5,.1449759889673404,2.758053951177517,7.176120975711278,10.28337587925268,4.890787361175018,200.6285326343068,MBA,2026-06-05,0
56,Melete,121.333,8.51,,2461200.5,.236505065595717,2.598084704537854,8.079210963660802,192.9041415732761,105.030328807674,139.0533647664504,MBA,2026-06-05,0
57,Mnemosyne,112.59,6.93,,2461200.5,.1078666911367274,3.156183777091694,15.22989908023177,198.8839363750295,210.9922014087566,240.3230229988899,MBA,2026-06-05,0
58,Concordia,106.517,9.03,,2461200.5,.04585216458206288,2.699501125498163,5.072710338782864,161.0461895943929,33.81810959506524,152.9727683516142,MBA,2026-06-05,0
59,Elpis,165.119,8.08,,2461200.5,.1164669406989657,2.713148246917561,8.648807440022068,169.9099501700256,211.1667320131904,12.36735559980319,MBA,2026-06-05,0
60,Echo,43.218,8.63,0.27,2461200.5,.1843626927698913,2.392965318908073,3.600036667323514,191.5141603553946,270.9033691566357,181.2985198322722,MBA,2026-06-05,0
61,Danae,85.937,7.73,,2461200.5,.1636408930579798,2.984345021241406,18.20613258275143,333.5438212780651,12.88165233511756,48.64916964313294,MBA,2026-06-05,0
