id,label,vmag,src,ra,dec,epoch,pmra,pmdec,plx,rv,hip,tyc,hr
Gaia DR3 2443095153084654208,TYC 4669-731-1,9.15,G,0.000434825,-5.494409354,2016.0,22.498113286351444,-11.301014444999133,1.9638818764037183,-17.371372,,4669-731-1,
Gaia DR3 2738327528519591936,Gaia DR3 2738327528519591936,9.09,G,0.00087195,1.088978348,2016.0,-0.3601410665873848,-5.052624168963223,5.41509565667704,8.299213,,,
Gaia DR3 2738614363615548032,TYC 1-194-1,9.36,G,0.026597566,1.331967851,2016.0,-15.354446179408678,2.073910190124555,3.1984345802356167,10.226724,,1-194-1,
Gaia DR3 2449930576356314880,HIP 14,7.27,G,0.04868477,-0.360492288,2016.0,58.72592161992058,-10.210756192039149,5.996582818481182,22.96328,14,4663-160-1,
Gaia DR3 2739891068414238464,HIP 31,7.62,G,0.098084588,2.67547913,2016.0,-1.262117045536786,0.1583736011868728,1.984872774999839,4.140553,31,4-19-1,
Gaia DR3 2738198542061746560,TYC 1-1167-1,9.25,G,0.115663962,0.205260273,2016.0,21.884063891036096,45.249562698405725,5.935405141315597,22.740736,,1-1167-1,
Gaia DR3 2448644044672541568,TYC 4663-1120-1,9.34,G,0.123044099,-2.389616802,2016.0,19.47945845459696,-36.012623703981795,8.228606753708405,25.380959,,4663-1120-1,
Gaia DR3 2448142358132819456,HIP 44,7.93,G,0.132812453,-3.30624502,2016.0,13.08767069189338,17.005771622489675,3.845131542207095,7.2502394,44,4666-405-1,
Gaia DR3 2738323714588656512,HIP 51,8.95,G,0.143462848,1.06625054,2016.0,10.426408804305629,7.748420556296155,3.0225572313444165,14.257961,51,1-263-1,
Gaia DR3 2738198645140961920,HIP 56,8.14,G,0.163102095,0.222924108,2016.0,39.322010071985716,-2.1904920237000636,1.6703744785709773,-37.73893,56,1-1015-1,
Gaia DR3 2739998854913538176,TYC 4-111-1,9.46,G,0.166646127,3.336365144,2016.0,-3.351723177085498,-7.858711121043204,1.8904356306817607,4.8947005,,4-111-1,
Gaia DR3 2739124537011002752,TYC 1-162-1,9.51,G,0.197412276,2.384809044,2016.0,59.88654061153495,-20.669894697328054,4.290186091273593,0.28015712,,1-162-1,
Gaia DR3 2444686180769411840,HIP 81,8.57,G,0.242573522,-4.933305769,2016.0,-187.00120867869003,-173.23287594814397,22.20930813205747,0.16338588,81,4666-884-1,
Gaia DR3 2442882255849262592,HIP 87,7.79,G,0.26146223,-5.835048418,2016.0,-7.645050751924847,-10.587692510056813,4.914035841582084,4.633999,87,4669-606-1,
Gaia DR3 2442881882188346112,TYC 4669-801-1,7.67,G,0.280469167,-5.874369099,2016.0,-13.831765646681706,-5.3084518093885995,3.355217769663841,9.932954,,4669-801-1,
